cluster_id,hits,hit_rate,birth,death,persistence,robust
4,196,0.98,9.475363408466887,15.599660787971908,6.1242973795050215,True
3,160,0.8,8.39999622518024,15.024105690875231,6.624109465694992,True
2,138,0.69,6.119287319857665,14.819536502915199,8.700249183057535,True
1,103,0.515,7.273652076721191,16.413870783685482,9.140218706964289,True
0,91,0.455,4.848987102508545,14.723621881925142,9.874634779416597,True
5,85,0.425,7.512845993041992,14.32926809647504,6.816422103433048,True
6,63,0.315,9.046788778305054,15.111491804122926,6.064703025817871,True
8,39,0.195,10.4415397457048,15.890259995180017,5.448720249475217,True
7,24,0.12,7.512845993041992,14.98046882947286,7.467622836430867,True
12,16,0.08,9.45799446105957,16.273380756378174,6.8153862953186035,True
10,6,0.03,8.410454750061035,14.129141807556152,5.718687057495117,False
11,6,0.03,11.450418472290039,16.82312075297038,5.372702280680339,False
9,3,0.015,8.739202499389648,15.865787188212076,7.126584688822429,False
