cluster_id,hits,hit_rate,birth,death,persistence,robust
1,196,0.98,6.139563000563419,11.452432333820997,5.312869333257579,True
0,168,0.84,5.342119070415161,11.305514623041022,5.963395552625862,True
3,142,0.71,7.102110311438475,11.970229037972384,4.8681187265339085,True
4,111,0.555,5.040681186023059,11.898386130461821,6.857704944438763,True
2,90,0.45,6.860387063720851,11.572833112142618,4.712446048421767,True
6,34,0.17,7.6815097955557015,12.084389202411359,4.402879406855656,True
5,5,0.025,6.897498416900635,11.47930965423584,4.581811237335205,False
11,3,0.015,6.301205158233643,10.91318130493164,4.611976146697998,False
10,2,0.01,8.161177158355713,12.502032279968262,4.340855121612549,False
9,2,0.01,7.282321929931641,11.42054796218872,4.13822603225708,False
7,1,0.005,5.939666271209717,11.90335464477539,5.963688373565674,False
8,1,0.005,7.617711067199707,11.90335464477539,4.285643577575684,False
