cluster_id,hits,hit_rate,birth,death,persistence,robust
0,185,0.925,2.3266274880232483,6.444052381762143,4.117424893738894,True
2,157,0.785,2.699802479960702,6.745625734329224,4.045823254368522,False
7,110,0.55,2.1567989823165212,6.770137313065256,4.613338330748734,False
8,79,0.395,2.407762202094583,6.823949286516975,4.416187084422392,False
11,67,0.335,2.0965304374694824,6.450852386987031,4.354321949517549,False
3,49,0.245,2.9860412875811257,6.904386893908183,3.918345606327057,False
1,46,0.23,2.542004906612894,6.464493157207102,3.922488250594208,False
6,27,0.135,3.3361189705984935,7.3086012159075056,3.972482245309012,False
5,21,0.105,2.742528059903313,6.436274935217464,3.6937468753141514,False
12,19,0.095,3.2391300087883357,7.054423877171108,3.815293868382772,False
9,15,0.075,2.674348621833615,7.07039823764708,4.396049615813465,False
4,14,0.07,2.9555712587693157,6.993757808909697,4.038186550140381,False
10,9,0.045,2.437971928540398,6.789054029128131,4.351082100587733,False
16,9,0.045,3.6522010473104625,7.39526000389686,3.7430589565863976,False
13,8,0.04,3.1644243110309946,7.2353833371942695,4.070959026163274,False
14,4,0.02,2.07875657081604,6.954893708229065,4.876137137413025,False
15,2,0.01,2.5240936279296875,7.177328268686931,4.653234640757243,False
17,1,0.005,2.949336528778076,6.692546844482422,3.7432103157043457,False
