cluster_id,hits,hit_rate,birth,death,persistence,robust
3,199,0.995,8.142020703133642,11.586626986469652,3.4446062833360096,True
5,185,0.925,7.847394631086569,10.974432066923878,3.1270374358373085,True
4,183,0.915,7.066913704373944,10.466358107544465,3.3994444031705227,True
2,134,0.67,6.813742659507541,11.445972162649172,4.63222950314163,True
1,105,0.525,5.0951385498046875,10.606717191423689,5.511578641619001,True
0,96,0.48,4.168641567230225,10.887031078338623,6.718389511108398,True
10,15,0.075,8.535981531496402,11.159237402456778,2.623255870960377,True
7,9,0.045,7.792242873798717,10.445364778692072,2.653121904893355,False
8,4,0.02,5.0951385498046875,11.223114967346191,6.127976417541504,False
9,4,0.02,8.264588952064514,12.225405931472778,3.960816979408264,False
6,3,0.015,4.168641567230225,10.753681182861328,6.5850396156311035,False
11,2,0.01,9.23586654663086,11.76925802230835,2.5333914756774902,False
