cluster_id,hits,hit_rate,birth,death,persistence,robust
1,200,1.0,2.658512877298079,4.751034518549557,2.0925216412514778,True
0,194,0.97,2.2018423168747514,4.396746120008094,2.194903803133343,True
4,87,0.435,1.8087629079818726,4.186798106664899,2.378035198683026,True
8,71,0.355,1.5166858434677124,4.305807597200635,2.789121753732923,True
6,67,0.335,2.5197089609473644,4.466826125828907,1.9471171648815424,True
5,63,0.315,3.0446400023125983,5.025271632454612,1.9806316301420137,True
2,50,0.25,2.123620893016006,4.179350722919811,2.0557298299038047,True
9,36,0.18,2.2626475921043983,4.6899554423796825,2.4273078502752843,True
7,6,0.03,3.0065374741187463,4.789092540740967,1.7825550666222205,False
10,4,0.02,1.8087629079818726,4.4306944608688354,2.621931552886963,False
11,2,0.01,3.3083534240722656,5.002111117045085,1.693757692972819,False
3,1,0.005,2.037374973297119,4.066235542297363,2.028860569000244,False
12,1,0.005,2.9157657623291016,4.501397132873535,1.5856313705444336,False
13,1,0.005,3.555161237716675,5.130716323852539,1.5755550861358643,False
