subject,roi,k,edges,density,avg_degree,n_components,largest_component
1,LO2,2,307,0.02506941041972889,3.910828025477707,1,157
1,LO2,5,736,0.06010125755348685,9.375796178343949,1,157
1,LO2,10,1395,0.11391474767270945,17.770700636942674,1,157
1,LO2,20,2532,0.20676139147476727,32.254777070063696,1,157
1,LO2,40,4390,0.3584844030703903,55.92356687898089,1,157
1,MT,2,309,0.025232729054385106,3.9363057324840764,1,157
1,MT,5,751,0.06132614731340846,9.566878980891719,1,157
1,MT,10,1433,0.11701780173117753,18.254777070063696,1,157
1,MT,20,2582,0.21084435734117263,32.89171974522293,1,157
1,MT,40,4418,0.36077086395557734,56.28025477707006,1,157
1,PH,2,308,0.025151069737056997,3.9235668789808917,1,157
1,PH,5,758,0.06189776253470521,9.656050955414013,1,157
1,PH,10,1442,0.1177527355871305,18.369426751592357,1,157
1,PH,20,2605,0.21272252163971908,33.18471337579618,1,157
1,PH,40,4500,0.3674669279764821,57.32484076433121,1,157
1,PIT,2,309,0.025232729054385106,3.9363057324840764,1,157
1,PIT,5,751,0.06132614731340846,9.566878980891719,1,157
1,PIT,10,1443,0.1178343949044586,18.38216560509554,1,157
1,PIT,20,2618,0.21378409276498447,33.35031847133758,1,157
1,PIT,40,4470,0.3650171484566389,56.94267515923567,1,157
1,STSva,2,300,0.02449779519843214,3.821656050955414,1,157
1,STSva,5,709,0.05789645598562796,9.031847133757962,1,157
1,STSva,10,1336,0.10909684795035114,17.019108280254777,1,157
1,STSva,20,2462,0.20104523926179976,31.363057324840764,1,157
1,STSva,40,4381,0.35774946921443734,55.80891719745223,1,157
1,V1,2,302,0.024661113833088357,3.8471337579617835,1,157
1,V1,5,736,0.06010125755348685,9.375796178343949,1,157
1,V1,10,1392,0.11366976972072514,17.73248407643312,1,157
1,V1,20,2520,0.20578147966683,32.10191082802548,1,157
1,V1,40,4393,0.35872938102237467,55.961783439490446,1,157
1,V2,2,305,0.024906091785072675,3.8853503184713376,1,157
1,V2,5,723,0.05903968642822146,9.210191082802547,1,157
1,V2,10,1364,0.11138330883553814,17.37579617834395,1,157
1,V2,20,2467,0.2014535358484403,31.426751592356688,1,157
1,V2,40,4353,0.3554630083292504,55.452229299363054,1,157
1,V3,2,302,0.024661113833088357,3.8471337579617835,1,157
1,V3,5,722,0.05895802711089335,9.197452229299364,1,157
1,V3,10,1369,0.11179160542217867,17.43949044585987,1,157
1,V3,20,2484,0.20284174424301812,31.643312101910826,1,157
1,V3,40,4360,0.3560346235505471,55.54140127388535,1,157
