subject,roi,eps_quantile,eps_value,edges,density,avg_degree,n_components,largest_component
1,LO2,0.01,-3.1463528752326964,1852,0.010003456918157462,6.082101806239737,106,504
1,LO2,0.02,-2.5477519504725934,3703,0.02000151240169389,12.160919540229886,36,574
1,LO2,0.05,-1.791291743516922,9257,0.05000108028692421,30.400656814449917,8,602
1,LO2,0.1,-1.2392863035202026,18514,0.10000216057384842,60.801313628899834,2,608
1,LO2,0.15,-0.9346142262220383,27771,0.15000324086077263,91.20197044334975,2,608
1,LO2,0.2,-0.7210946083068848,37028,0.20000432114769684,121.60262725779967,2,608
1,LO2,0.3,-0.4211149215698242,55541,0.3000010802869242,182.40065681444992,1,609
1,LO2,0.4,-0.1980428695678711,74055,0.4000032408607726,243.20197044334975,1,609
1,LO2,0.5,-0.00014676153659820557,92568,0.5,304.0,1,609
1,MT,0.01,-4.63130067884922,1852,0.010003456918157462,6.082101806239737,345,265
1,MT,0.02,-3.793659308552742,3703,0.02000151240169389,12.160919540229886,210,400
1,MT,0.05,-2.6284061074256897,9257,0.05000108028692421,30.400656814449917,28,582
1,MT,0.1,-1.7934753373265266,18514,0.10000216057384842,60.801313628899834,3,607
1,MT,0.15,-1.3088574409484863,27771,0.15000324086077263,91.20197044334975,2,608
1,MT,0.2,-0.9862906634807587,37028,0.20000432114769684,121.60262725779967,2,608
1,MT,0.3,-0.552313762716949,55541,0.3000010802869242,182.40065681444992,1,609
1,MT,0.4,-0.25210827589035034,74055,0.4000032408607726,243.20197044334975,1,609
1,MT,0.5,-1.1920928955078125e-07,92570,0.500010802869242,304.00656814449917,1,609
1,PH,0.01,-3.575685929507017,1852,0.010003456918157462,6.082101806239737,324,286
1,PH,0.02,-2.8658972918987273,3703,0.02000151240169389,12.160919540229886,163,447
1,PH,0.05,-1.9591323398053646,9257,0.05000108028692421,30.400656814449917,7,603
1,PH,0.1,-1.3129319101572037,18514,0.10000216057384842,60.801313628899834,1,609
1,PH,0.15,-0.9666739702224731,27771,0.15000324086077263,91.20197044334975,1,609
1,PH,0.2,-0.7302481234073639,37028,0.20000432114769684,121.60262725779967,1,609
1,PH,0.3,-0.4186312407255173,55541,0.3000010802869242,182.40065681444992,1,609
1,PH,0.4,-0.19581301510334015,74055,0.4000032408607726,243.20197044334975,1,609
1,PH,0.5,-0.005585632752627134,92568,0.5,304.0,1,609
1,PIT,0.01,-3.6820809185504912,1852,0.010003456918157462,6.082101806239737,127,483
1,PIT,0.02,-2.938810110092163,3703,0.02000151240169389,12.160919540229886,20,590
1,PIT,0.05,-2.001165732741356,9257,0.05000108028692421,30.400656814449917,2,608
1,PIT,0.1,-1.3539695143699646,18514,0.10000216057384842,60.801313628899834,1,609
1,PIT,0.15,-1.0003047585487366,27771,0.15000324086077263,91.20197044334975,1,609
1,PIT,0.2,-0.762612123042345,37028,0.20000432114769684,121.60262725779967,1,609
1,PIT,0.3,-0.44244492053985596,55541,0.3000010802869242,182.40065681444992,1,609
1,PIT,0.4,-0.21163415908813477,74055,0.4000032408607726,243.20197044334975,1,609
1,PIT,0.5,-0.010583043098449707,92568,0.5,304.0,1,609
1,STSva,0.01,-1.6700807690620423,1852,0.010003456918157462,6.082101806239737,231,373
1,STSva,0.02,-1.3823094353079797,3703,0.02000151240169389,12.160919540229886,113,493
1,STSva,0.05,-1.0018525617197156,9257,0.05000108028692421,30.400656814449917,18,592
1,STSva,0.1,-0.7247878909111023,18514,0.10000216057384842,60.801313628899834,1,609
1,STSva,0.15,-0.5655186655931175,27771,0.15000324086077263,91.20197044334975,1,609
1,STSva,0.2,-0.44889284670352936,37028,0.20000432114769684,121.60262725779967,1,609
1,STSva,0.3,-0.2692075946251862,55541,0.3000010802869242,182.40065681444992,1,609
1,STSva,0.4,-0.12554183369502425,74055,0.4000032408607726,243.20197044334975,1,609
1,STSva,0.5,0.0031313984654843807,92568,0.5,304.0,1,609
1,V1,0.01,-1.9458703801035881,1852,0.010003456918157462,6.082101806239737,92,518
1,V1,0.02,-1.547174909710884,3703,0.02000151240169389,12.160919540229886,20,590
1,V1,0.05,-1.0827756151556969,9257,0.05000108028692421,30.400656814449917,1,609
1,V1,0.1,-0.757514663040638,18514,0.10000216057384842,60.801313628899834,1,609
1,V1,0.15,-0.5720631927251816,27771,0.15000324086077263,91.20197044334975,1,609
1,V1,0.2,-0.44547581672668457,37028,0.20000432114769684,121.60262725779967,1,609
1,V1,0.3,-0.2655147910118103,55541,0.3000010802869242,182.40065681444992,1,609
1,V1,0.4,-0.1299889087677002,74055,0.4000032408607726,243.20197044334975,1,609
1,V1,0.5,-0.00843532383441925,92568,0.5,304.0,1,609
1,V2,0.01,-1.8132041931152343,1852,0.010003456918157462,6.082101806239737,106,504
1,V2,0.02,-1.4598119676113128,3703,0.02000151240169389,12.160919540229886,29,581
1,V2,0.05,-1.0175801515579224,9257,0.05000108028692421,30.400656814449917,2,608
1,V2,0.1,-0.712094247341156,18514,0.10000216057384842,60.801313628899834,1,609
1,V2,0.15,-0.5425028055906296,27771,0.15000324086077263,91.20197044334975,1,609
1,V2,0.2,-0.42170989513397217,37028,0.20000432114769684,121.60262725779967,1,609
1,V2,0.3,-0.24563467502593994,55541,0.3000010802869242,182.40065681444992,1,609
1,V2,0.4,-0.10751807689666748,74055,0.4000032408607726,243.20197044334975,1,609
1,V2,0.5,0.013811647891998291,92568,0.5,304.0,1,609
1,V3,0.01,-2.2473313182592394,1852,0.010003456918157462,6.082101806239737,39,571
1,V3,0.02,-1.7653144001960754,3703,0.02000151240169389,12.160919540229886,5,605
1,V3,0.05,-1.2145465314388275,9257,0.05000108028692421,30.400656814449917,1,609
1,V3,0.1,-0.8418105244636536,18514,0.10000216057384842,60.801313628899834,1,609
1,V3,0.15,-0.6356061454862356,27771,0.15000324086077263,91.20197044334975,1,609
1,V3,0.2,-0.49169790744781494,37028,0.20000432114769684,121.60262725779967,1,609
1,V3,0.3,-0.28409451246261597,55541,0.3000010802869242,182.40065681444992,1,609
1,V3,0.4,-0.1253376007080078,74055,0.4000032408607726,243.20197044334975,1,609
1,V3,0.5,0.015201330184936523,92568,0.5,304.0,1,609
1,V4,0.01,-3.184916877746582,1852,0.010003456918157462,6.082101806239737,97,513
1,V4,0.02,-2.519228982925415,3703,0.02000151240169389,12.160919540229886,16,594
1,V4,0.05,-1.7068263292312622,9257,0.05000108028692421,30.400656814449917,3,607
1,V4,0.1,-1.1350187063217163,18514,0.10000216057384842,60.801313628899834,1,609
1,V4,0.15,-0.8352245092391968,27771,0.15000324086077263,91.20197044334975,1,609
1,V4,0.2,-0.6321828365325928,37028,0.20000432114769684,121.60262725779967,1,609
1,V4,0.3,-0.3565499782562256,55541,0.3000010802869242,182.40065681444992,1,609
1,V4,0.4,-0.15563297271728516,74055,0.4000032408607726,243.20197044334975,1,609
1,V4,0.5,0.01600790023803711,92568,0.5,304.0,1,609
2,LO2,0.01,-2.5913063045591116,1852,0.010003456918157462,6.082101806239737,8,602
2,LO2,0.02,-1.957853962003719,3703,0.02000151240169389,12.160919540229886,1,609
2,LO2,0.05,-1.3137915506958961,9257,0.05000108028692421,30.400656814449917,1,609
2,LO2,0.1,-0.9048328995704651,18514,0.10000216057384842,60.801313628899834,1,609
2,LO2,0.15,-0.6796972565352917,27771,0.15000324086077263,91.20197044334975,1,609
2,LO2,0.2,-0.5224302150309086,37028,0.20000432114769684,121.60262725779967,1,609
2,LO2,0.3,-0.29797258973121643,55541,0.3000010802869242,182.40065681444992,1,609
2,LO2,0.4,-0.1231299638748169,74055,0.4000032408607726,243.20197044334975,1,609
2,LO2,0.5,0.03168180584907532,92568,0.5,304.0,1,609
2,MT,0.01,-3.2881860569119454,1852,0.010003456918157462,6.082101806239737,179,431
2,MT,0.02,-2.6317443861276844,3703,0.02000151240169389,12.160919540229886,49,561
2,MT,0.05,-1.8067194619216025,9257,0.05000108028692421,30.400656814449917,6,604
2,MT,0.1,-1.2325067706406116,18514,0.10000216057384842,60.801313628899834,1,609
2,MT,0.15,-0.9175724368542433,27771,0.15000324086077263,91.20197044334975,1,609
2,MT,0.2,-0.707968533039093,37028,0.20000432114769684,121.60262725779967,1,609
2,MT,0.3,-0.41963791102170944,55541,0.3000010802869242,182.40065681444992,1,609
2,MT,0.4,-0.21122179925441742,74055,0.4000032408607726,243.20197044334975,1,609
2,MT,0.5,-0.030706480145454407,92568,0.5,304.0,1,609
2,PH,0.01,-3.176888534426689,1852,0.010003456918157462,6.082101806239737,296,313
2,PH,0.02,-2.577765926718712,3703,0.02000151240169389,12.160919540229886,177,433
2,PH,0.05,-1.7843668395653367,9257,0.05000108028692421,30.400656814449917,23,587
2,PH,0.1,-1.2230106890201569,18514,0.10000216057384842,60.801313628899834,4,606
2,PH,0.15,-0.9030500836670399,27771,0.15000324086077263,91.20197044334975,1,609
2,PH,0.2,-0.6834751963615417,37028,0.20000432114769684,121.60262725779967,1,609
2,PH,0.3,-0.3884122371673584,55541,0.3000010802869242,182.40065681444992,1,609
2,PH,0.4,-0.17688322067260742,74055,0.4000032408607726,243.20197044334975,1,609
2,PH,0.5,0.004480183124542236,92568,0.5,304.0,1,609
2,PIT,0.01,-2.683414253592491,1852,0.010003456918157462,6.082101806239737,20,590
2,PIT,0.02,-2.1218377709388734,3703,0.02000151240169389,12.160919540229886,3,607
2,PIT,0.05,-1.4767681509256363,9257,0.05000108028692421,30.400656814449917,1,609
2,PIT,0.1,-1.026784986257553,18514,0.10000216057384842,60.801313628899834,1,609
2,PIT,0.15,-0.7750765830278397,27771,0.15000324086077263,91.20197044334975,1,609
2,PIT,0.2,-0.6006585359573364,37028,0.20000432114769684,121.60262725779967,1,609
2,PIT,0.3,-0.34839604049921036,55541,0.3000010802869242,182.40065681444992,1,609
2,PIT,0.4,-0.1553252935409546,74055,0.4000032408607726,243.20197044334975,1,609
2,PIT,0.5,0.012379541993141174,92568,0.5,304.0,1,609
2,STSva,0.01,-1.7509422570466995,1852,0.010003456918157462,6.082101806239737,122,487
2,STSva,0.02,-1.4045964121818542,3703,0.02000151240169389,12.160919540229886,32,578
2,STSva,0.05,-0.9959819880314171,9257,0.05000108028692421,30.400656814449917,2,608
2,STSva,0.1,-0.7119274288415909,18514,0.10000216057384842,60.801313628899834,1,609
2,STSva,0.15,-0.5521213272586465,27771,0.15000324086077263,91.20197044334975,1,609
2,STSva,0.2,-0.43712666630744934,37028,0.20000432114769684,121.60262725779967,1,609
2,STSva,0.3,-0.26398295909166336,55541,0.3000010802869242,182.40065681444992,1,609
2,STSva,0.4,-0.12553416518494487,74055,0.4000032408607726,243.20197044334975,1,609
2,STSva,0.5,0.0007075611501932144,92568,0.5,304.0,1,609
2,V1,0.01,-1.6354521863162517,1852,0.010003456918157462,6.082101806239737,25,585
2,V1,0.02,-1.2845667779445649,3703,0.02000151240169389,12.160919540229886,7,603
2,V1,0.05,-0.8962059766054153,9257,0.05000108028692421,30.400656814449917,1,609
2,V1,0.1,-0.6352753192186356,18514,0.10000216057384842,60.801313628899834,1,609
2,V1,0.15,-0.4896550923585892,27771,0.15000324086077263,91.20197044334975,1,609
2,V1,0.2,-0.3853771984577179,37028,0.20000432114769684,121.60262725779967,1,609
2,V1,0.3,-0.23339754343032837,55541,0.3000010802869242,182.40065681444992,1,609
2,V1,0.4,-0.11317718029022217,74055,0.4000032408607726,243.20197044334975,1,609
2,V1,0.5,-0.004717618227005005,92568,0.5,304.0,1,609
2,V2,0.01,-1.3810498349368572,1852,0.010003456918157462,6.082101806239737,10,600
2,V2,0.02,-1.0789386749267578,3703,0.02000151240169389,12.160919540229886,1,609
2,V2,0.05,-0.7471323013305664,9257,0.05000108028692421,30.400656814449917,1,609
2,V2,0.1,-0.5341833531856537,18514,0.10000216057384842,60.801313628899834,1,609
2,V2,0.15,-0.41198739409446716,27771,0.15000324086077263,91.20197044334975,1,609
2,V2,0.2,-0.32380425930023193,37028,0.20000432114769684,121.60262725779967,1,609
2,V2,0.3,-0.19096776843070984,55541,0.3000010802869242,182.40065681444992,1,609
2,V2,0.4,-0.08586138486862183,74055,0.4000032408607726,243.20197044334975,1,609
2,V2,0.5,0.008660435676574707,92568,0.5,304.0,1,609
2,V3,0.01,-1.4779517335817218,1852,0.010003456918157462,6.082101806239737,150,459
2,V3,0.02,-1.2187222063541412,3703,0.02000151240169389,12.160919540229886,46,564
2,V3,0.05,-0.8935690224170685,9257,0.05000108028692421,30.400656814449917,6,604
2,V3,0.1,-0.6443799138069153,18514,0.10000216057384842,60.801313628899834,1,609
2,V3,0.15,-0.49872180819511414,27771,0.15000324086077263,91.20197044334975,1,609
2,V3,0.2,-0.3909066915512085,37028,0.20000432114769684,121.60262725779967,1,609
2,V3,0.3,-0.22942302376031876,55541,0.3000010802869242,182.40065681444992,1,609
2,V3,0.4,-0.098183274269104,74055,0.4000032408607726,243.20197044334975,1,609
2,V3,0.5,0.021212726831436157,92568,0.5,304.0,1,609
2,V4,0.01,-1.8825846195220948,1852,0.010003456918157462,6.082101806239737,208,399
2,V4,0.02,-1.5617253303527832,3703,0.02000151240169389,12.160919540229886,94,515
2,V4,0.05,-1.1325861066579819,9257,0.05000108028692421,30.400656814449917,6,604
2,V4,0.1,-0.8126866817474365,18514,0.10000216057384842,60.801313628899834,1,609
2,V4,0.15,-0.6261582970619202,27771,0.15000324086077263,91.20197044334975,1,609
2,V4,0.2,-0.4884910583496094,37028,0.20000432114769684,121.60262725779967,1,609
2,V4,0.3,-0.28727078437805176,55541,0.3000010802869242,182.40065681444992,1,609
2,V4,0.4,-0.12772178649902344,74055,0.4000032408607726,243.20197044334975,1,609
2,V4,0.5,0.01283174753189087,92568,0.5,304.0,1,609
3,LO2,0.01,-3.775649371743202,1852,0.010003456918157462,6.082101806239737,114,496
3,LO2,0.02,-2.967966836690903,3703,0.02000151240169389,12.160919540229886,17,593
3,LO2,0.05,-1.9705364853143692,9257,0.05000108028692421,30.400656814449917,2,608
3,LO2,0.1,-1.3140111565589905,18514,0.10000216057384842,60.801313628899834,2,608
3,LO2,0.15,-0.9550278699025512,27771,0.15000324086077263,91.20197044334975,1,609
3,LO2,0.2,-0.7154697179794312,37028,0.20000432114769684,121.60262725779967,1,609
3,LO2,0.3,-0.3931989073753357,55541,0.3000010802869242,182.40065681444992,1,609
3,LO2,0.4,-0.1612989902496338,74055,0.4000032408607726,243.20197044334975,1,609
3,LO2,0.5,0.04090690612792969,92568,0.5,304.0,1,609
3,MT,0.01,-2.9333542108535764,1852,0.010003456918157462,6.082101806239737,139,471
3,MT,0.02,-2.3368443032726645,3703,0.02000151240169389,12.160919540229886,48,562
3,MT,0.05,-1.6034173667430878,9257,0.05000108028692421,30.400656814449917,2,608
3,MT,0.1,-1.1053275046870112,18514,0.10000216057384842,60.801313628899834,1,609
3,MT,0.15,-0.831390643492341,27771,0.15000324086077263,91.20197044334975,1,609
3,MT,0.2,-0.6431576311588287,37028,0.20000432114769684,121.60262725779967,1,609
3,MT,0.3,-0.3812808208167553,55541,0.3000010802869242,182.40065681444992,1,609
3,MT,0.4,-0.18736319988965988,74055,0.4000032408607726,243.20197044334975,1,609
3,MT,0.5,-0.015228225267492235,92568,0.5,304.0,1,609
3,PH,0.01,-3.1943328846711667,1852,0.010003456918157462,6.082101806239737,225,385
3,PH,0.02,-2.5593710064888,3703,0.02000151240169389,12.160919540229886,77,533
3,PH,0.05,-1.7409704476594925,9257,0.05000108028692421,30.400656814449917,7,603
3,PH,0.1,-1.1821678578853607,18514,0.10000216057384842,60.801313628899834,2,608
3,PH,0.15,-0.8702487777918577,27771,0.15000324086077263,91.20197044334975,2,608
3,PH,0.2,-0.6697287559509277,37028,0.20000432114769684,121.60262725779967,2,608
3,PH,0.3,-0.3907551970332861,55541,0.3000010802869242,182.40065681444992,1,609
3,PH,0.4,-0.19020426273345947,74055,0.4000032408607726,243.20197044334975,1,609
3,PH,0.5,-0.01731133460998535,92568,0.5,304.0,1,609
3,PIT,0.01,-3.9465200503822415,1852,0.010003456918157462,6.082101806239737,242,368
3,PIT,0.02,-3.217854940891266,3703,0.02000151240169389,12.160919540229886,123,487
3,PIT,0.05,-2.2448464930057526,9257,0.05000108028692421,30.400656814449917,14,596
3,PIT,0.1,-1.5077552795410156,18514,0.10000216057384842,60.801313628899834,3,607
3,PIT,0.15,-1.102492868900299,27771,0.15000324086077263,91.20197044334975,2,608
3,PIT,0.2,-0.832545205950737,37028,0.20000432114769684,121.60262725779967,1,609
3,PIT,0.3,-0.47156772017478943,55541,0.3000010802869242,182.40065681444992,1,609
3,PIT,0.4,-0.21815824508666992,74055,0.4000032408607726,243.20197044334975,1,609
3,PIT,0.5,-0.002749323844909668,92568,0.5,304.0,1,609
3,STSva,0.01,-2.1058492191135882,1852,0.010003456918157462,6.082101806239737,212,397
3,STSva,0.02,-1.6881507003679872,3703,0.02000151240169389,12.160919540229886,79,530
3,STSva,0.05,-1.1631891038268805,9257,0.05000108028692421,30.400656814449917,7,603
3,STSva,0.1,-0.8083035796880722,18514,0.10000216057384842,60.801313628899834,1,609
3,STSva,0.15,-0.6162773228716105,27771,0.15000324086077263,91.20197044334975,1,609
3,STSva,0.2,-0.4806568920612335,37028,0.20000432114769684,121.60262725779967,1,609
3,STSva,0.3,-0.2878237012773752,55541,0.3000010802869242,182.40065681444992,1,609
3,STSva,0.4,-0.13821429759263992,74055,0.4000032408607726,243.20197044334975,1,609
3,STSva,0.5,-0.002185400575399399,92568,0.5,304.0,1,609
3,V1,0.01,-2.3448038298636673,1852,0.010003456918157462,6.082101806239737,257,353
3,V1,0.02,-1.9120937712490558,3703,0.02000151240169389,12.160919540229886,113,497
3,V1,0.05,-1.3380163833498955,9257,0.05000108028692421,30.400656814449917,11,599
3,V1,0.1,-0.9262016005814075,18514,0.10000216057384842,60.801313628899834,1,609
3,V1,0.15,-0.6897246539592743,27771,0.15000324086077263,91.20197044334975,1,609
3,V1,0.2,-0.5272456407546997,37028,0.20000432114769684,121.60262725779967,1,609
3,V1,0.3,-0.3000199794769287,55541,0.3000010802869242,182.40065681444992,1,609
3,V1,0.4,-0.13243180513381958,74055,0.4000032408607726,243.20197044334975,1,609
3,V1,0.5,0.011146128177642822,92568,0.5,304.0,1,609
3,V2,0.01,-1.757456934452057,1852,0.010003456918157462,6.082101806239737,117,493
3,V2,0.02,-1.4256279021501541,3703,0.02000151240169389,12.160919540229886,44,566
3,V2,0.05,-1.0031013935804367,9257,0.05000108028692421,30.400656814449917,3,607
3,V2,0.1,-0.6980913281440735,18514,0.10000216057384842,60.801313628899834,1,609
3,V2,0.15,-0.529761016368866,27771,0.15000324086077263,91.20197044334975,1,609
3,V2,0.2,-0.40771007537841797,37028,0.20000432114769684,121.60262725779967,1,609
3,V2,0.3,-0.23174723982810974,55541,0.3000010802869242,182.40065681444992,1,609
3,V2,0.4,-0.09367787837982178,74055,0.4000032408607726,243.20197044334975,1,609
3,V2,0.5,0.02843722701072693,92568,0.5,304.0,1,609
3,V3,0.01,-2.377726663649082,1852,0.010003456918157462,6.082101806239737,199,411
3,V3,0.02,-1.9367616891860961,3703,0.02000151240169389,12.160919540229886,92,518
3,V3,0.05,-1.3714060187339783,9257,0.05000108028692421,30.400656814449917,8,602
3,V3,0.1,-0.9498536586761475,18514,0.10000216057384842,60.801313628899834,1,609
3,V3,0.15,-0.7090759873390198,27771,0.15000324086077263,91.20197044334975,1,609
3,V3,0.2,-0.5360312163829803,37028,0.20000432114769684,121.60262725779967,1,609
3,V3,0.3,-0.29536938667297363,55541,0.3000010802869242,182.40065681444992,1,609
