subject,roi,k,edges,density,avg_degree,n_components,largest_component
1,LO2,2,1208,0.0065249330222106995,3.967159277504105,1,609
1,LO2,5,2993,0.016166493820758795,9.829228243021346,1,609
1,LO2,10,5893,0.0318306542217613,19.35303776683087,1,609
1,LO2,20,11450,0.06184642641085472,37.602627257799675,1,609
1,LO2,40,21616,0.11675741076830005,70.98850574712644,1,609
1,MT,2,1213,0.0065519401953158755,3.9835796387520523,1,609
1,MT,5,3015,0.01628532538242157,9.901477832512315,1,609
1,MT,10,5958,0.0321817474721286,19.56650246305419,1,609
1,MT,20,11669,0.06302934059286146,38.32183908045977,1,609
1,MT,40,22307,0.12048980209143549,73.25779967159278,1,609
1,PH,2,1211,0.006541137326073805,3.9770114942528734,1,609
1,PH,5,3014,0.016279923947800534,9.898193760262727,1,609
1,PH,10,5967,0.03223036038371792,19.59605911330049,1,609
1,PH,20,11648,0.06291591046581972,38.252873563218394,1,609
1,PH,40,22138,0.11957695964048051,72.70279146141215,1,609
1,PIT,2,1214,0.006557341629936911,3.986863711001642,1,609
1,PIT,5,3012,0.016269121078558466,9.891625615763546,1,609
1,PIT,10,5957,0.03217634603750756,19.563218390804597,1,609
1,PIT,20,11590,0.06260262725779968,38.0623973727422,1,609
1,PIT,40,21880,0.1181833895082534,71.85550082101807,1,609
1,STSva,2,1141,0.006163036902601331,3.7471264367816093,1,609
1,STSva,5,2882,0.01556693457782387,9.464696223316913,1,609
1,STSva,10,5711,0.030847593120732868,18.755336617405582,1,609
1,STSva,20,11063,0.05975607121251404,36.331691297208536,1,609
1,STSva,40,20837,0.11254969319851353,68.43021346469622,1,609
1,V1,2,1194,0.006449312937516204,3.9211822660098523,1,609
1,V1,5,2956,0.015966640739780484,9.707717569786535,1,609
1,V1,10,5819,0.03143094805980468,19.110016420361248,1,609
1,V1,20,11272,0.06088497104831043,37.018062397372745,1,609
1,V1,40,21282,0.11495333160487425,69.89162561576354,1,609
1,V2,2,1185,0.006400700025926886,3.8916256157635467,1,609
1,V2,5,2926,0.015804597701149427,9.60919540229885,1,609
1,V2,10,5771,0.031171679197994986,18.952380952380953,1,609
1,V2,20,11201,0.06050146919021692,36.78489326765189,1,609
1,V2,40,21141,0.11419172932330827,69.42857142857143,1,609
1,V3,2,1207,0.006519531587589664,3.9638752052545154,1,609
1,V3,5,2969,0.016036859389853945,9.750410509031198,1,609
1,V3,10,5803,0.03134452510586812,19.057471264367816,1,609
1,V3,20,11239,0.060706723705816264,36.90968801313629,1,609
1,V3,40,21155,0.11426734940800276,69.47454844006567,1,609
1,V4,2,1212,0.006546538760694841,3.980295566502463,1,609
1,V4,5,3011,0.01626371964393743,9.888341543513958,1,609
1,V4,10,5940,0.03208452164894996,19.507389162561577,1,609
1,V4,20,11550,0.06238656987295826,37.93103448275862,1,609
1,V4,40,21778,0.11763244317690778,71.52052545155993,1,609
2,LO2,2,1203,0.006497925849105523,3.9507389162561575,1,609
2,LO2,5,2948,0.015923429262812202,9.681444991789819,1,609
2,LO2,10,5764,0.03113386915564774,18.929392446633827,1,609
2,LO2,20,11117,0.06004774868204995,36.50903119868637,1,609
2,LO2,40,21110,0.11402428485005618,69.32676518883416,1,609
2,MT,2,1208,0.0065249330222106995,3.967159277504105,1,609
2,MT,5,2995,0.016177296690000863,9.835796387520526,1,609
2,MT,10,5913,0.031938682914182004,19.41871921182266,1,609
2,MT,20,11576,0.06252700717310518,38.016420361247945,1,609
2,MT,40,22070,0.11920966208625011,72.47947454844007,1,609
2,PH,2,1208,0.0065249330222106995,3.967159277504105,1,609
